id,category,question
1,1,"If you could alter something about a parent, what would it be?"
2,1,How have you changed over the past few years?
3,1,The trick to understanding why I can sometimes be difficult is to remember that...
4,1,In what ways do you disagree with your society's standard views on sex?
5,1,What are the bad things you learnt from your mother? And your father?
6,1,What would you want to reassure the child version of yourself about?
7,1,What would need to happen for us all to spend more time together?
8,1,How have you let your parents down?
9,1,What bit of you did your parents never understand?
10,1,Has anything from your childhood made you very anxious?
11,1,How do you disappoint yourself?
12,1,What kinds of problems would you (almost) like an ideal lover to have?
13,1,Describe how your current (or past) partner resembles one of your parents.
14,1,Explain why you might feel reluctant to show off a new partner to friends or family.
15,1,What romantic gesture / overture are you now quite embarrassed to think about?
16,1,Have you ever had an unhealthy attachment to someone?
17,1,"If you decided not to continue dating someone, how would you end the relationship?"
18,1,Who was the first person to break your heart?
19,1,What might your family blame you for?
20,1,"As an adult, do you squabble with your siblings? How?"
21,1,How does your dependence on (or independence from) your parents affect your relationship with them?
22,1,Have you ever had a crush on someone rather too senior or junior for you?
23,1,What causes your anxieties? How do you overcome them?
24,1,Have you ever struggled to get over a partner?
25,1,What values do you have that your parents don't?
26,1,"Who do you blame for the state of your career, aside from yourself?"
27,1,What matters to you when choosing friends?
28,1,"Ten years from now, how would you like to have changed?"
29,1,What I'd love to change about myself is...
30,1,What do you wish you could go back and correct?
31,1,What would need to change for you to feel less anxious?
32,1,What did you learn about relationships from your parents?
33,1,What would you like to learn from me? How could I help you?
34,1,"Looking back, what were you angry with your parents about?"
35,1,How might your parents strictness / permissiveness influence your future parenting styles / methods?
36,1,What might you not want your employers to learn about your behavior outside of work?
37,1,Who do you need to impress?
38,1,What negative thought do you worry your friends have about you?
39,1,What part of you do you feel needs the most work?
40,1,What do the negative voices in your head focus on when they criticize you?
41,1,Do you think you have changed your own behavior or character during a relationship?
42,1,How has your past hindered you in the present?
43,1,Who makes you envious? What might the envy tell you about your own aspirations?
44,1,What kinds of mature qualities do you particularly admire in other people?
45,1,What do you fear in social contexts?
46,1,What do you worry that others might think?
47,1,In what ways have you disappointed your parents?
48,1,What unfortunate character trait can be traced back directly to something in your past?
49,1,What book made a big impression on you?
50,1,When have you felt lonely?
51,1,What are the ideal conditions for a get-together?
52,2,"What small changes could you make to move your life in a better direction, work-wise?"
53,2,"What is the world far too judgmental about? Draw the discussion back to yourself, too."
54,2,"Think of something you admire. Without naming them, try to describe what impresses you about them."
55,2,Tell us about one of your good old friends: what do you like about them?
56,2,What would you like more regularly to be appreciated for?
57,2,What do you still want to achieve in life?
58,2,What thoughts do you experience when you start to panic at work?
59,2,Have you had an experience that might have contributed to your prejudices? 
60,2,"Who would you want to impress, if you had lots of money?"
61,2,Where are you most an imposter? 
62,2,What could you have done with a bit more luck and encouragement?
63,2,In what ways are you tricky to work with (we all are)? What could you do to improve or resolve this?
64,2,What makes you particularly happy?
65,2,Do you ever feel as if you don't deserve your success? 
66,2,In what ways do you underperform at work?
67,2,What's the biggest mistake you've ever made at work?
68,2,In what ways might your choice (money or job satisfaction) be causing you difficulties in life?
69,2,What's preventing you from acting on your dreams?
70,2,How do your personal values align with your current role?
71,2,"If you were the head of an organization, would you prioritize employee happiness over profit?"
72,2,What sets off your tendency to procrastinate?
73,2,Describe the worst boss you've ever had. 
74,2,What are the negative characteristics you've inherited from your family?
75,2,Have you ever felt jealous of a sibling?
76,2,What would you like to be reassured about?
77,2,What scares you about other people?
78,2,Describe the very worst that could happen if things you are worried about came to pass. How could they be survived? 
79,2,What kind of people most irritate you at work? Can you notice any patterns?
80,2,What are the ideal conditions for a work get-together?
81,2,In what ways do you feel grateful to your team?
82,2,What is your team rather good at?
